,timestamp,value
677,9/6/2018,2030.5
678,9/7/2018,2030
679,9/10/2018,2000
680,9/11/2018,2035
681,9/12/2018,1981.5
682,9/13/2018,2014.5
683,9/14/2018,2015.5
684,9/17/2018,1985
685,9/18/2018,2012
686,9/19/2018,1981
687,9/20/2018,2018.5
688,9/21/2018,2034
689,9/24/2018,2035
690,9/25/2018,2020
691,9/26/2018,2056.5
692,9/27/2018,2030
693,9/28/2018,2011.5
694,10/1/2018,2047.5
695,10/2/2018,2080
696,10/3/2018,2166.5
697,10/4/2018,2243.5
698,10/5/2018,2140
699,10/8/2018,2073.5
700,10/9/2018,2031.5
701,10/10/2018,2029
702,10/11/2018,2024
703,10/12/2018,2045
704,10/15/2018,2028
705,10/16/2018,2022
706,10/17/2018,2018
707,10/18/2018,2007.5
708,10/19/2018,2022.5
709,10/22/2018,2002.5
710,10/23/2018,1997
711,10/24/2018,1987.5
712,10/25/2018,1981
713,10/26/2018,1961
714,10/29/2018,1980.5
715,10/30/2018,1952
716,10/31/2018,1946
717,11/1/2018,1961
718,11/2/2018,1967
719,11/5/2018,1959
720,11/6/2018,1950
721,11/7/2018,1951.5
722,11/8/2018,1977
723,11/9/2018,1964.5
724,11/12/2018,1934
725,11/13/2018,1925
726,11/14/2018,1931
727,11/15/2018,1917
728,11/16/2018,1914
729,11/19/2018,1918
730,11/20/2018,1927
731,11/21/2018,1945
732,11/22/2018,1941.5
733,11/23/2018,1922.5
734,11/26/2018,1920
735,11/27/2018,1925
736,11/28/2018,1912.5
737,11/29/2018,1933
738,11/30/2018,1935
739,12/3/2018,1982.5
740,12/4/2018,1985
741,12/5/2018,1966.5
742,12/6/2018,1945
743,12/7/2018,1962
744,12/10/2018,1951
745,12/11/2018,1949.5
746,12/12/2018,1928
747,12/13/2018,1924
748,12/14/2018,1908
749,12/17/2018,1937.5
750,12/18/2018,1940
751,12/19/2018,1928
752,12/20/2018,1923.5
753,12/21/2018,1920
754,12/24/2018,1898.5
755,12/27/2018,1898
756,12/28/2018,1881
757,12/31/2018,1869.5
758,1/2/2019,1858
759,1/3/2019,1825.5
760,1/4/2019,1879
761,1/7/2019,1858
762,1/8/2019,1837
763,1/9/2019,1842
764,1/10/2019,1844
765,1/11/2019,1816
766,1/14/2019,1775.5
767,1/15/2019,1810.5
768,1/16/2019,1839.5
769,1/17/2019,1804
770,1/18/2019,1851
771,1/21/2019,1842.5
772,1/22/2019,1867.5
773,1/23/2019,1877.5
774,1/24/2019,1851
775,1/25/2019,1866.5
776,1/28/2019,1860
777,1/29/2019,1853
778,1/30/2019,1871
779,1/31/2019,1880.5
780,2/1/2019,1872.5
781,2/4/2019,1840
782,2/5/2019,1896.5
783,2/6/2019,1886.5
784,2/7/2019,1862.5
785,2/8/2019,1865
786,2/11/2019,1848
787,2/12/2019,1840.5
788,2/13/2019,1840
789,2/14/2019,1829
790,2/15/2019,1828.5
791,2/18/2019,1822.5
792,2/19/2019,1833.5
793,2/20/2019,1829.5
794,2/21/2019,1858.5
795,2/22/2019,1890.5
796,2/25/2019,1886
797,2/26/2019,1870
798,2/27/2019,1898.5
799,2/28/2019,1893
800,3/1/2019,1890.5
801,3/4/2019,1859.5
802,3/5/2019,1868.5
803,3/6/2019,1846
804,3/7/2019,1841
805,3/8/2019,1848
806,3/11/2019,1830
807,3/12/2019,1851
808,3/13/2019,1873
809,3/14/2019,1873.5
810,3/15/2019,1868
811,3/18/2019,1879
812,3/19/2019,1907.5
813,3/20/2019,1923
814,3/21/2019,1891
815,3/22/2019,1867
816,3/25/2019,1856
817,3/26/2019,1849.5
818,3/27/2019,1898.5
819,3/28/2019,1896.5
820,3/29/2019,1900
821,4/1/2019,1888
822,4/2/2019,1858
823,4/3/2019,1865
824,4/4/2019,1872
825,4/5/2019,1864
826,4/8/2019,1858.5
827,4/9/2019,1851
828,4/10/2019,1852
829,4/11/2019,1847.5
830,4/12/2019,1843.5
831,4/15/2019,1843.5
832,4/16/2019,1839
833,4/17/2019,1840.5
834,4/18/2019,1839
835,4/23/2019,1855
836,4/24/2019,1854
837,4/25/2019,1852
838,4/26/2019,1832
839,4/29/2019,1816
840,4/30/2019,1809
841,5/1/2019,1775.5
842,5/2/2019,1800.5
843,5/3/2019,1783.5
844,5/7/2019,1767
845,5/8/2019,1761
846,5/9/2019,1766.5
847,5/10/2019,1765
848,5/13/2019,1765.5
849,5/14/2019,1792
850,5/15/2019,1802
851,5/16/2019,1832
852,5/17/2019,1805
853,5/20/2019,1786
854,5/21/2019,1766
855,5/22/2019,1747
856,5/23/2019,1740
857,5/24/2019,1761.5
858,5/28/2019,1773
859,5/29/2019,1770
860,5/30/2019,1762
861,5/31/2019,1761
862,6/3/2019,1763.5
863,6/4/2019,1751.5
864,6/5/2019,1766
865,6/6/2019,1742.5
866,6/7/2019,1733
867,6/10/2019,1720.5
868,6/11/2019,1754.5
869,6/12/2019,1753.5
870,6/13/2019,1756
871,6/14/2019,1737.5
872,6/17/2019,1719.5
873,6/18/2019,1733
874,6/19/2019,1746.5
875,6/20/2019,1778
876,6/21/2019,1743.5
877,6/24/2019,1747.5
878,6/25/2019,1776.5
879,6/26/2019,1803
880,6/27/2019,1782
881,6/28/2019,1773.5
882,7/1/2019,1778
883,7/2/2019,1755.5
884,7/3/2019,1754.5
885,7/4/2019,1771.5
886,7/5/2019,1779.5
887,7/8/2019,1783
888,7/9/2019,1783
889,7/10/2019,1811.5
890,7/11/2019,1807
891,7/12/2019,1799.5
892,7/15/2019,1810
893,7/16/2019,1818
894,7/17/2019,1819
895,7/18/2019,1827.5
896,7/19/2019,1833
897,7/22/2019,1808
898,7/23/2019,1795
899,7/24/2019,1795.5
900,7/25/2019,1795.5
901,7/26/2019,1778
902,7/29/2019,1774.5
903,7/30/2019,1781.5
904,7/31/2019,1776.5
905,8/1/2019,1757
906,8/2/2019,1749
907,8/5/2019,1739.5
908,8/6/2019,1740.5
909,8/7/2019,1728
910,8/8/2019,1737.5
911,8/9/2019,1746
912,8/12/2019,1743
913,8/13/2019,1731
914,8/14/2019,1741
915,8/15/2019,1742.5
916,8/16/2019,1755.5
917,8/19/2019,1762.5
918,8/20/2019,1756.5
919,8/21/2019,1751
920,8/22/2019,1739
921,8/23/2019,1746
922,8/27/2019,1744
923,8/28/2019,1724
924,8/29/2019,1713.5
925,8/30/2019,1712.5
