,timestamp,value
630,2018-07-02,2153
631,2018-07-03,2165
632,2018-07-04,2121
633,2018-07-05,2127
634,2018-07-06,2099
635,2018-07-09,2136
636,2018-07-10,2141
637,2018-07-11,2121
638,2018-07-12,2105
639,2018-07-13,2102
640,2018-07-16,2130
641,2018-07-17,2110
642,2018-07-18,2040
643,2018-07-19,2062
644,2018-07-20,2075
645,2018-07-23,2130
646,2018-07-24,2082
647,2018-07-25,2057
648,2018-07-26,2054
649,2018-07-27,2055
650,2018-07-30,2054
651,2018-07-31,2061
652,2018-08-01,2036
653,2018-08-02,2023
654,2018-08-03,2016
655,2018-08-06,2001
656,2018-08-07,2027
657,2018-08-08,2022
658,2018-08-09,2118
659,2018-08-10,2039
660,2018-08-13,2052
661,2018-08-14,2038
662,2018-08-15,1995
663,2018-08-16,1998
664,2018-08-17,1999
665,2018-08-20,2033
666,2018-08-21,2041
667,2018-08-22,2039
668,2018-08-23,2022
669,2018-08-24,2062
670,2018-08-28,2088
671,2018-08-29,2116
672,2018-08-30,2127
673,2018-08-31,2112
674,2018-09-03,2084
675,2018-09-04,2040
676,2018-09-05,2046
677,2018-09-06,2031
678,2018-09-07,2030
679,2018-09-10,2000
680,2018-09-11,2035
681,2018-09-12,1982
682,2018-09-13,2015
683,2018-09-14,2016
684,2018-09-17,1985
685,2018-09-18,2012
686,2018-09-19,1981
687,2018-09-20,2019
688,2018-09-21,2034
689,2018-09-24,2035
690,2018-09-25,2020
691,2018-09-26,2057
692,2018-09-27,2030
693,2018-09-28,2012
694,2018-10-01,2048
695,2018-10-02,2080
696,2018-10-03,2167
697,2018-10-04,2244
698,2018-10-05,2140
699,2018-10-08,2074
700,2018-10-09,2032
701,2018-10-10,2029
702,2018-10-11,2024
703,2018-10-12,2045
704,2018-10-15,2028
705,2018-10-16,2022
706,2018-10-17,2018
707,2018-10-18,2008
708,2018-10-19,2023
709,2018-10-22,2003
710,2018-10-23,1997
711,2018-10-24,1988
712,2018-10-25,1981
713,2018-10-26,1961
714,2018-10-29,1981
715,2018-10-30,1952
716,2018-10-31,1946
717,2018-11-01,1961
718,2018-11-02,1967
719,2018-11-05,1959
720,2018-11-06,1950
721,2018-11-07,1952
722,2018-11-08,1977
723,2018-11-09,1965
724,2018-11-12,1934
725,2018-11-13,1925
726,2018-11-14,1931
727,2018-11-15,1917
728,2018-11-16,1914
729,2018-11-19,1918
730,2018-11-20,1927
731,2018-11-21,1945
732,2018-11-22,1942
733,2018-11-23,1923
734,2018-11-26,1920
735,2018-11-27,1925
736,2018-11-28,1913
737,2018-11-29,1933
738,2018-11-30,1935
739,2018-12-03,1983
740,2018-12-04,1985
741,2018-12-05,1967
742,2018-12-06,1945
743,2018-12-07,1962
744,2018-12-10,1951
745,2018-12-11,1950
746,2018-12-12,1928
747,2018-12-13,1924
748,2018-12-14,1908
749,2018-12-17,1938
750,2018-12-18,1940
751,2018-12-19,1928
752,2018-12-20,1924
753,2018-12-21,1920
754,2018-12-24,1899
755,2018-12-27,1898
756,2018-12-28,1881
757,2018-12-31,1870
758,2019-01-02,1858
759,2019-01-03,1826
760,2019-01-04,1879
761,2019-01-07,1858
762,2019-01-08,1837
763,2019-01-09,1842
764,2019-01-10,1844
765,2019-01-11,1816
766,2019-01-14,1776
767,2019-01-15,1811
768,2019-01-16,1840
769,2019-01-17,1804
770,2019-01-18,1851
771,2019-01-21,1843
772,2019-01-22,1868
773,2019-01-23,1878
774,2019-01-24,1851
775,2019-01-25,1867
776,2019-01-28,1860
777,2019-01-29,1853
778,2019-01-30,1871
779,2019-01-31,1881
780,2019-02-01,1873
781,2019-02-04,1840
782,2019-02-05,1897
783,2019-02-06,1887
784,2019-02-07,1863
785,2019-02-08,1865
786,2019-02-11,1848
787,2019-02-12,1841
788,2019-02-13,1840
789,2019-02-14,1829
790,2019-02-15,1829
791,2019-02-18,1823
792,2019-02-19,1834
793,2019-02-20,1830
794,2019-02-21,1859
795,2019-02-22,1891
796,2019-02-25,1886
797,2019-02-26,1870
798,2019-02-27,1899
799,2019-02-28,1893
